legal_name,dba_name,city,latitude ,longitude
CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL # 1084,LOS ANGELES,34.0618,-118.4466
CHIPOTLE MEXICAN GRILL INC,,ENCINO,34.1571,-118.489
CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1412,STUDIO CITY,34.1433,-118.3975
CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1310,LOS ANGELES,34.0971,-118.3266
CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #913,LOS ANGELES,34.0622,-118.3494
CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1413,LOS ANGELES,34.098,-118.3566
CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1500,LOS ANGELES,34.0473,-118.2565
CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1647,WOODLAND HILLS,34.1874,-118.5975
CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1675,SAN PEDRO,33.7517,-118.3089
CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1789,CANOGA PARK,34.1898,-118.6058
CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1746,NORTHRIDGE,34.2354,-118.5549
CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1681,GRANADA HILLS,34.2575,-118.5014
CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL INC 1843,NORTH HOLLYWOOD,34.1657,-118.3751
CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL 1913,LOS ANGELES,34.0617,-118.2911
CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1942,SHERMAN OAKS,34.1511,-118.4537
CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #2738,PACIFIC PALISADES,34.0465,-118.5243
CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #3119,LOS ANGELES,34.0543,-118.2629
CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #3062,LOS ANGELES,34.0771,-118.2647
CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #2711,MISSION HILLS,34.2579,-118.4663
CHIRAWAT MARKKERN ET AL,PAILIN THAI CUISINE,LOS ANGELES,34.1017,-118.3124
CHIXEGG LLC,,PLAYA VISTA,33.9737,-118.4233
CHO YIU KWAN,YAYO TACO,LOS ANGELES,34.0585,-118.2324
CHOCO2007 INC,CHICKEN WARRIORS,LOS ANGELES,34.0595,-118.2897
CHOISEN INC,WABA GRILL FIGUEROA,HIGHLAND PARK,34.1158,-118.1839
CHOKCHAI PIAMCHUNTER,DOME POCHANA,SYLMAR,34.3104,-118.4277
CHONG CHOL/MICHELL KIM,7ELEVEN STORE #19598C,LOS ANGELES,34.0799,-118.3091
CHONG KYUN CHANG,CHUN JU HAN IL KWAN,LOS ANGELES,34.0635,-118.2966
CHONG SUP CHANG,HARBOR LIGHT RESTAURANT,SAN PEDRO,33.7384,-118.2686
"CHOONG MU RO, INC.",,LOS ANGELES,34.0764,-118.3491
CHOP BOARD INC,OLYMPIA KEBAB HOUSE,GRANADA HILLS,34.264,-118.523
"CHOP STOP, INC",,ENCINO,34.1609,-118.5104
"CHOP STOP, INC",,STUDIO CITY,34.1435,-118.3927
CHOPRAS RESTAURANT INC,VENUS BANQUET HALL,CANOGA PARK,34.2011,-118.5868
CHOSUN GALBEE RESTAURANT INC,,LOS ANGELES,34.0526,-118.3101
CHOUNG JA LEE/HEUNG JAE LEE,MA DANG GOOK SOO,LOS ANGELES,34.0565,-118.309
CHOY ENTERPRISES CORP,FINA ESTAMPA,CHATSWORTH,34.2385,-118.5718
CHRIS KOUTROURIBIS,,WILMINGTON,33.7911,-118.2628
CHRISTINA LEE,TO SOC CHON,LOS ANGELES,34.0674,-118.3087
CHRISTINA MARANGOS,LOUIS BURGERS #4,TORRANCE,33.832,-118.2999
CHRISTINE CENTEOLT MARTINEZ,KAZUKO MEX,CHATSWORTH,34.2353,-118.5979
CHRISTOPHER GUTIERREZ,ANTOJITOS MICHOACANOS LA HUARECITA,PANORAMA CITY,34.2268,-118.4494
CHU POONG YOUNG INC,ROAD TO SEOUL,LOS ANGELES,34.0484,-118.309
CHUAN YANG ENTERPRISES INC,PLUM TREE INN,LOS ANGELES,34.0643,-118.2372
CHUANWU LLC,MENG REN,LOS ANGELES,34.0398,-118.438
"CHUCKKRAPONG ZUDJARITKUN, PRAWPHUN SUCHARITKUL & CHUENJIT WONGSIRI",KING THAI FOOD,LOS ANGELES,34.0937,-118.3266
CHUL H JUNG,TRIMANA PARAMOUNT PLAZA,LOS ANGELES,34.0617,-118.302
CHUN LUN OH,DER WIENERSCHNITZEL #124,LOS ANGELES,34.0174,-118.3356
CHUN YIN TUNG,,LOS ANGELES,34.0595,-118.309
CHUN ZI KUK,WESTERN SOON DAE USA,LOS ANGELES,34.0645,-118.3091
CHUNG HOON LEE,VERMONT SOON DAE,LOS ANGELES,34.0551,-118.2916
CHUNGJAE CHUNG,SERRANO CAFE,LOS ANGELES,34.0617,-118.3065
CHUNGSIL HONGSIL INC,,LOS ANGELES,34.0678,-118.3087
CHURCH AND STATE LP,CHURCH & STATE RESTAURANT,LOS ANGELES,34.0358,-118.2338
CHUTAMAS THAI CUISINE INC,,NORTHRIDGE,34.2214,-118.5536
CIABATTA BAR HOLLYWOOD LLC,,LOS ANGELES,34.0979,-118.3311
CILANTROS FRESH MEXICAN EXPRESS GRILL LLC,CILANGRO FRESH MEXICAN GRILL,LOS ANGELES,33.9559,-118.3964
CINDY CARDENAS,SUSHI-LITOS CAFE,LOS ANGELES,34.0133,-118.2562
CINEMA CRATES INC,CINEMA CRATES,N HOLLYWOOD,34.1702,-118.3615
CINTHIA'S MARKET AND RESTAURANT,,LOS ANGELES,34.0397,-118.2444
"CIRCA.1926, INC",THE FEDERAL BAR,NORTH HOLLYWOOD,34.167,-118.3759
"CISNEROS RESTAURANTS, INC",MISSION BURRITO #2 - WH,CANOGA PARK,34.2188,-118.6224
CITY LINK INC-FATBURGER,FATBURGER,LOS ANGELES,34.0118,-118.4192
CIUDAD LA LLC,BORDER GRILL DOWNTOWN LA,LOS ANGELES,34.0529,-118.2564
CJ CAFE INC,,LOS ANGELES,34.0489,-118.3574
CJ'S CAFE BALDWIN HILLS,CJ'S CAFE BALDWIN HILLS,LOS ANGELES,34.0206,-118.3556
CJP ENTERPRISE INC,,LOS ANGELES,34.0611,-118.2933
CKE RESTAURANT VENTURES LLC,RESTAURANT HAMASAKU,LOS ANGELES,34.0481,-118.4428
CKPKEN CORPORATION,,GRANADA HILLS,34.2652,-118.522
CKPKEN CORPORATION,ENJOY BOWL,NORTHRIDGE,34.2278,-118.5018
"CKPP, INC.",,HARBOR CITY,33.7908,-118.2958
CLAIM JUMPER ACQUISITION COMPANY,,NORTHRIDGE,34.2414,-118.5535
CLARA BENNIE ONELUM,TOTO'S AFRICAN CUISINE,VAN NUYS,34.2018,-118.468
"CLARK'S, LLC",THE SHELBY,LOS ANGELES,34.0734,-118.3748
"CLASSIC GRILL, INC.",,LOS ANGELES,33.96,-118.3782
CLAUDIA A ARISTONDO,MI NUEVO MOLCAJETE RESTAURANT,LOS ANGELES,34.0619,-118.2804
CLAUDIA CARDENAS,PUPUSERIA ACAJUTLA,LOS ANGELES,33.9867,-118.2647
CLAUDIA ESTELA RAMOS SALAZAR,ESTELA'S RESTAURANT,ARLETA,34.2323,-118.4381
CLAUDIA MARIA MALDONADO PERLA,MONSTER BURGER #3,LOS ANGELES,33.9657,-118.2655
CLAUDIA PACHECO,ANTEQUERA,LOS ANGELES,34.0835,-118.3135
CLAYTON AND CASEY CORPORATION,,LOS ANGELES,34.0526,-118.2869
CLAYTON'S PUBLIC HOUSE LP,,LOS ANGELES,34.0477,-118.2471
"CLEO W. 3RD, LLC",,WEST HOLLYWOOD,34.0727,-118.3728
CLETO HERNANDEZ-MARTINEZ,TACOS 'N TORTAS ALEBRIJES,LOS ANGELES,34.0148,-118.2652
CLIFFS LLC,CLIFFS,LOS ANGELES,34.0903,-118.2774
CLINTONS RESTAURANTS INC,CLIFTON'S REPUBLIC,LOS ANGELES,34.0458,-118.2527
CLOUD GROUP INC,CRABBY CRAB,SHERMAN OAKS,34.1524,-118.4486
CLOVER & CO,WHEALTHY,LOS ANGELES,34.1026,-118.3395
CLUB I ENTERPRISES INC,IRON CITY,SAN PEDRO,33.736,-118.2899
CLUB ZERO ENTERTAINMENT INC,CLUB BIRDIE,TORRANCE,33.8314,-118.3079
CM TIME INC,IT'S BOBA TIME,LOS ANGELES,34.0516,-118.2804
CM TORRES CORP,BLACK ROSE TAVERN,LOS ANGELES,34.0546,-118.383
CMP FOOD COURT INC,HAPPY FAMILY 2.0,LOS ANGELES,34.0658,-118.3085
CNC RESTAURANT INC,IVANHOE RESTAURANT  AND BAR,LOS ANGELES,34.1061,-118.2569
COCKTAIL LANES INC,SWINGERS,LOS ANGELES,34.076,-118.3641
COCOCOPIA RESTAURANT LLC,RUSTY MULLET,LOS ANGELES,34.1018,-118.3361
COFFEE + 2 INC,COFFEE + 2,NORTH HOLLYWOOD,34.1866,-118.4138
COFFEE CORNER INC,COFFEE CORNER,LOS ANGELES,34.0713,-118.36
COFFEE FOR BREAKFAST AND LOUNGE,,NORTH HOLLYWOOD,34.1719,-118.3817
COLIN P TOM ET AL,C P T FOOD VENTURES & NEW MOON RESTAURANT,LOS ANGELES,34.0416,-118.2549
COLISEO PIZZERIA,,LOS ANGELES,34.0186,-118.356
"COLORI LA, INC",,LOS ANGELES,34.0446,-118.256
COMBO'S PIZZA INC,COMBOS NEW YORK STYLE PIZZA,LOS ANGELES,34.1016,-118.328
COMBO'S PIZZA INC,COMBOS NEW YORK STYLE PIZZA,LOS ANGELES,34.1015,-118.3379
COMEDY CLUB OF LOS ANGELES LLC,,LOS ANGELES,34.0835,-118.3674
COMIDA MEXICANA RESTAURANT INC,,PACOIMA,34.2775,-118.4215
COMMONWEALTH RESTAURANT LLC,FEU,STUDIO CITY,34.1402,-118.3768
COMMUNITY ALEHOUSE LLC,,LOS ANGELES,33.9855,-118.4248
COMPARIS TRATTORIA PIZZERIA INC,COMPARI'S ITALIAN RESTAURANT,LOS ANGELES,33.977,-118.3766
"COMPASS GROUP USA, INC",CANTEEN VENDING | EUREST DINING SERVICES #27201,LOS ANGELES,34.0498,-118.2533
"COMPASS GROUP USA, INC",,LOS ANGELES,33.9433,-118.4079
CON SABOR A PERU INC,,LOS ANGELES,34.0452,-118.3531
CONCESSIONS MANAGEMENT LS AT LAX TBIT LLC,JAMES BEACH FISH TACOS AND BAR,LOS ANGELES,33.9453,-118.3995
CONCESSIONS MANAGEMENT LS AT LAX TBIT LLC,SCOREBOARD LA,LOS ANGELES,33.9453,-118.3995
CONCESSIONS MANAGEMENT LS AT LAX TBIT LLC,CANTINA LAREDO,LOS ANGELES,33.9453,-118.3995
CONCHAGUA RESTAURANT INC,CONCHAGUA RESTAURANT # 2,LYNWOOD,33.9429,-118.215
CONCHITA COSSIO,CONI SEAFOOD,LOS ANGELES,33.9925,-118.4223
CONCHITA'S RESTAURANT INC,CONCHITA'S RESTAURANT,LOS ANGELES,34.0472,-118.294
CONCORD EATERY INC,HOCK & HOOF,LOS ANGELES,34.047,-118.2502
CONCORDIA DEVELOPMENT INC,SUBWAY #14900,SYLMAR,34,-118
CONCORDIA DEVELOPMENT INC,SUBWAY #47963,PACOIMA,34.2727,-118.4274
CONCORDIA DEVELOPMENT INC,SUBWAY #55668,SUN VALLEY,34.2319,-118.4037
CONCORDIA DEVELOPMENT INC,SUBWAY #358,SUN VALLEY,34.2241,-118.3964
CONCORDIA DEVELOPMENT INC,SUBWAY #43314,NORTH HOLLYWOOD,34.1794,-118.3703
CONCORDIA DEVELOPMENT INC,SUBWAY #57912,LOS ANGELES,34.0437,-118.2616
CONGA ROOM LIVE LLC,CONGA ROOM LIVE,LOS ANGELES,34.045,-118.2639
CONNIE LOPEZ,LA GRANDE DE SINALOA,LOS ANGELES,34.0249,-118.2592
CONNIE SPELLMAN,,SHERMAN OAKS,34.153,-118.4283
CONRADO LOPEZ AGUILAR / TERESA BARAJAS TINOCO,CONRAD'S MEXICAN GRILL,SAN PEDRO,33.7389,-118.2851
CONSTANTIN S PROVATAS,BURGER PLACE,LOS ANGELES,33.9751,-118.3089
CONSTANTIN S PROVATAS,BURGER PLACE #1,LOS ANGELES,33.96,-118.2738
CONSUELO  VILLACORTA,JALTEPEC RESTAURANT,CANOGA PARK,34.2202,-118.5693
CONSUELO MARTINEZ,MARISCOS EL VIEJITO,SUN VALLEY,34.238,-118.3923
CONTINENTAL FRESH FOODS,,NORTH HOLLYWOOD,34.1794,-118.4046
COPAN MANAGEMENT INC,SLURPIN RAMEN,LOS ANGELES,34.0576,-118.3065
COPPELIA INC,COPPELIA BAKERY,LOS ANGELES,34.0173,-118.4095
CORAL REEF RESTAURANT INC,CORAL REEF RESTAURANT,LOS ANGELES,34.1175,-118.2611
CORBIN BOWLING CENTER INC,CORBIN BOWL,TARZANA,34.1727,-118.5604
CORDOVA CACERES LLC,EL CAFETALITO,ARLETA,34.2284,-118.4343
CORKYS INC,THE LAMPLIGHTER RESTAURANT II,SHERMAN OAKS,34.1623,-118.4487
CORN N CRAB LLC,CORN N CRAB,CANOGA PARK,34.2012,-118.591
CORNELIO CASTREJON GOMEZ / FRANCISCA AVILES,RESTAUANT LA GUADALUPANA,LOS ANGELES,34.0562,-118.2674
COSTAS KOUMOUDOUROS,GUS BURGER,WILMINGTON,33.791,-118.2658
COTE WEST LIMITED PARTNERSHIP,TAVERN,LOS ANGELES,34.0538,-118.4634
COTTI FOODS PIZZA CALIFORNIA,,GRANADA HILLS,34.2649,-118.5242
COTTI FOODS PIZZA CALIFORNIA,PIEOLOGY #8051,NORTHRIDGE,34.2357,-118.536
COTTI FOODS PIZZA CALIFORNIA,PIEOLOGY #8059,PORTER RANCH,34.2756,-118.5694
COUNTY OF LOS ANGELES,LA COUNTY MUSUEM OF ART | MUSEUM OF ART,LOS ANGELES,34.0628,-118.3601
CPC GROVE LP,,LOS ANGELES,34.0734,-118.3594
CRAFE CAFE INC,CRAVE CAFE - WEST HILLS,WEST HILLS,34.1936,-118.6276
CRAVE CONCEPTS INC,SASHAH FOODS/KFC SYLMAR,SYLMAR,34.3124,-118.4367
CRAVE STUDIO INC,,STUDIO CITY,34.1435,-118.3927
CRAVING FISH LLC,CRAVINGFISH,VAN NUYS,34.2083,-118.5087
CRAVINGS INC,KRAVINGS,TARZANA,34.1705,-118.5403
CRAZY GOOD 24 INC,Z'S DTLA,LOS ANGELES,34.0521,-118.2544
CRAZY TOKYO SUSHI RESTAURANT INC,,WOODLAND HILLS,34.1685,-118.6021
CRC RESTAURANTS INC,GREYSTOKE GRILL,TARZANA,34.1677,-118.5334
CREATIVE CONCEPTS DINING,,LOS ANGELES,33.9598,-118.391
CREATIVE ENTERTAINMENT CONCEPTS INC,OHM NIGHTCLUB,LOS ANGELES,34.1015,-118.3401
CRENSHAW CHRISTIAN CENTER CHURCH OF LOS ANGELES COUNTY /C,,LOS ANGELES,33.9677,-118.2917
CRESCENCIANO J PABLO SANCHEZ,LAS DELICIAS MEXICAN FOOD RESTAURANT,LOS ANGELES,34.0101,-118.3091
"CREWS LAX1, LLC",ROCK & BREWS,LOS ANGELES,33.9453,-118.3997
CREWS LAX2 LLC,JERSEY MIKE'S,LOS ANGELES,33.9452,-118.4019
CREWS LAX2 LLC,BUILT CUSTOM BURGER,LOS ANGELES,33.9452,-118.4019
CREWS LAX2 LLC,FRESH BROTHERS,LOS ANGELES,33.9452,-118.4019
CREWS LAX2 LLC,PICK UP STIX,LOS ANGELES,33.9452,-118.4019
CRISOSTOMO JIMENEZ,EL COMPITA,LOS ANGELES,34.0483,-118.3326
CRISTINA GUILLEN,KAILEY'S RESTAURANT,LOS ANGELES,34.0736,-118.2023
CRITIC'S CHOICE CATERING AND EVENT PRODUCTION INC,SCOTTS GOURMET CATERING,REDONDO BEACH,33.8803,-118.3662
CROWN BROS INC,CITY OF ANGELS RESTAURANT,N HOLLYWOOD,34.2012,-118.4227
CROWN WOK INC,,WEST HILLS,34.1927,-118.6425
CRP ALAGH CORPORATION,SUBWAY,NORTHRIDGE,34.2752,-118.5519
CRP ALAGH CORPORATION,SUBWAY # 24279,NORTHRIDGE,34.2572,-118.5394
CRUZ CORPORATION,MARISCOS GUADALAJARA RESTAURANT,VAN NUYS,34.2214,-118.4663
CRUZ N INC,OLGA'S NATURALLY,LOS ANGELES,34.0216,-118.3727
CRUZ R SEPULVEDA,MARTITA'S MEXICAN RESTAURANT,LOS ANGELES,34.078,-118.2152
CRYSTAL MCPHERSON,JUST CRYSTAL/CRYSTAL SOCAL CATERING,LOS ANGELES,33.9157,-118.2656
CSA SEAFOOD RESTAURANT INC,A & W SEAFOOD RESTAURANT,NORTHRIDGE,34.2393,-118.5356
"CSCCC, CORP",MOODAEPO ROWLAND HEIGHTS,ROWLAND HEIGHTS,33.9867,-117.8893
CSILLA BAN,BELLY-DELI,WOODLAND HILLS,34.1776,-118.5672
CSK TAM'S INC,TAM'S BURGER,LOS ANGELES,33.997,-118.2564
CTC CAFE ENCINO LLC,CORAL TREE CAFE,ENCINO,34.1614,-118.5141
CUELLAR INC,,LOS ANGELES,34.1216,-118.2259
CULINART OF CALIFORNIA,,LOS ANGELES,34.0693,-118.3273
CULINARY FOOD SERVICES LLC,THE SIT DOWN,LOS ANGELES,34.0984,-118.288
CULTURAS UNIDAS RESTAURANT,,NORTHRIDGE,34.2263,-118.5365
CULTURE MEDIA MARKETING INC,BIG MAMA'S & PAPA'S PIZZERIA,NORTHRIDGE,34.2213,-118.5365
CULVER WEST LP,PLAYA PROVISIONS,PLAYA DEL REY,33.9576,-118.4496
CUN SANG CHI,SUSHI BELUGA,PLAYA DEL REY,33.9593,-118.4481
CUPIDS INC,CUPIDS HOT DOGS,CANOGA PARK,34.1937,-118.5699
"CURRENT MOOD GROUP, LP",HERE'S LOOKING AT YOU,LOS ANGELES,34.0637,-118.3082
CURRY KING INC,,LOS ANGELES,34.1123,-118.2486
CUSTOM CALIFORNIA CRAFT BEER LLC,,LOS ANGELES,34.0509,-118.249
CUTLET BRENTWOOD LP,JON & VINNY'S,LOS ANGELES,34.0522,-118.4714
CVB INC,CHILE VERDE,LOS ANGELES,34.0115,-118.3365
CVB INC,CHILE VERDE,LOS ANGELES,33.9761,-118.3734
CW PICO INC,CALIFORNIA WOK,LOS ANGELES,34.0331,-118.4428
"CWT GROUP THREE, LLC",BAJA FRESH MEXICAN GRILL,WOODLAND HILLS,34.1748,-118.5969
CY CASTRO CORPORATION,ALEJOS PRESTO TRATTORIA,WESTCHESTER,33.9616,-118.4208
CYNDI M CORLETTO,ALLADIN'S COFFEE SHOP,LOS ANGELES,34.0415,-118.2636
CYPRESS BEST BURGER INC,CYPRESS BEST BURGERS,LOS ANGELES,34.0862,-118.2192
D & H INTERNATIONAL ENTERPRISE INC,DA RAE OAK RESTAURANT,LOS ANGELES,34.0506,-118.309
D & L PIZZA INC,DOMINO'S PIZZA,PANORAMA CITY,34.2237,-118.4488
D & L PIZZA INC,DOMINO'S PIZZA,VAN NUYS,34.1939,-118.4661
"D & M SARANG, INC.",,TORRANCE,33.858,-118.3031
D & R PACIFIC INC,CAFE AH SAH,GARDENA,33.8655,-118.3091
D & T SUH INC,JANG AN RESTAURANT,LOS ANGELES,34.0529,-118.294
D BOLA ENTERPRISES INC,TAQUERIA LA PINATA,LOS ANGELES,34.0907,-118.3374
D D H CORP,KFC,LOS ANGELES,34.0108,-118.301
D&HYUN INC.,,TARZANA,34.1676,-118.5339
D&M RESTAURANT GROUP INC,ONYX LOUNGE,LOS ANGELES,34.0474,-118.2495
D&M RESTAURANT GROUP INC,ONYX LOUNGE,LOS ANGELES,34.047,-118.2491
DADA 26 ENTERPRISES LLC,,WINNETKA,34.2081,-118.5707
DAE YONG CHOI,CALIFORNIA BOWL TERIYAKI & SUSHI,WOODLAND HILLS,34.1883,-118.5914
DAEJANGKUM ENTERPRISE INC,MOODAEPO II,LOS ANGELES,34.0597,-118.2895
DAICHAN USA INC,,STUDIO CITY,34.141,-118.3755
DAIKOKUYA INC,HACHIOJI RAMEN,LOS ANGELES,34.0502,-118.2404
DAISY TRACEY,,LOS ANGELES,34.0173,-118.3088
DAISY'S RESTAURANT INC,DAISY'S RESTAURANT,NORTH HILLS,34.2284,-118.4664
DALIA MARTINEZ,HOUSE OF TACO,VAN NUYS,34.2013,-118.4276
DALLAE GROUP INC,SKAI CAFE,LOS ANGELES,34.0497,-118.2916
DAMARIS ADALY CENTENO / GUILLERMO ANTONIO ESCOBAR ROMERO,EXIIT BAR,LOS ANGELES,33.9237,-118.2825
"DAMDA FOODS, LLC",KARMA INDIAN CUISINE,VALENCIA,34.4193,-118.5463
DAMN MESS LLC,TRAMP STAMP GRANNY'S,LOS ANGELES,34.1009,-118.3293
DAN HE,DAN'S KITCHEN,VAN NUYS,34.2012,-118.4672
DAN'S SUPER SUBS INC,DANS SUPER SUBS,WOODLAND HILLS,34.1684,-118.6156
DANCING SPOONS,,WEST HILLS,34.195,-118.6383
DANIEL LARA,DANIEL LARA FLOORING,SYLMAR,34.317,-118.4757
DANIEL OH,MYUNG POOM SOON DAE,LOS ANGELES,34.0646,-118.3092
DANIEL ROMO,TACOS EL OSO RESTAURANT,ARLETA,34.2543,-118.4382
DANIEL'S FOOD INC,AFSHAN CATERING,RESEDA,34.1866,-118.5363
DANIELA VALLE,LA FONDITA COMIDA MEXICANA,LOS ANGELES,34.0195,-118.24
DANNY & PETER CORPORATION,2 DIE FOR SUSHI,CANOGA PARK,34.2088,-118.6059
DANNYS BAKERY INC,GUATEMALTECA BAKERY,LOS ANGELES,34.0762,-118.2969
DANTE BALAREZO,CHIOS PERUVIAN GRILL,VAN NUYS,34.2112,-118.4662
DANTE BALAREZO,CHIOS PERUVIAN GRILL,VAN NUYS,34.1998,-118.449
DANTE BALAREZO,CHIOS PERUVIAN GRILL,WOODLAND HILLS,34.1718,-118.5678
"DAP DINING, INC",,LOS ANGELES,34.0487,-118.2337
DARIO E RODRIQUEZ,EL TACO LLAMA,NORTHRIDGE,34.2284,-118.5622
"DARK, CRUSTY & BUTTERY, LLC",EL 7 MARES PLAYITA SUNSET,LOS ANGELES,34.0854,-118.2748
DARUMA SUSHI INC,SUN SUSHI JAPANESE RESTAURANT,NORTHRIDGE,34.2326,-118.5357
DARYA SANTA MONICA RESTAURANT INC,DARYA RESTAURANT,LOS ANGELES,34.0404,-118.4637
DAS BOOT LLC,THE WOODMAN LA,SHERMAN OAKS,34.1478,-118.4298
DASHMESH INC,TASTE OF INDIA,SHERMAN OAKS,34.1492,-118.4357
DAT PHUC NGUYEN,CAFE ORIENT,CHATSWORTH,34.2572,-118.5803
DAVE & BUSTERS OF CALIFORNIA INC,,LOS ANGELES,33.9781,-118.393
DAVE & BUSTERS OF CALIFORNIA INC,DAVE & BUSTER'S,LOS ANGELES,34.1015,-118.3401
"DAVE'S HOT CHICKEN, LLC",,LOS ANGELES,34.0881,-118.309
DAVENPORT RESTAURANT GROUP INC,,ENCINO,34.1562,-118.4845
DAVID  LOPEZ,,VICTORVILLE,34.5222,-117.3543
DAVID A VEGA,LA SALSA RESTAURANT,LOS ANGELES,34.0567,-118.2777
DAVID AKRABOWON,DAVE BBQ & GRILL,LOS ANGELES,34.0981,-118.3031
DAVID CARROLL WOGH,HOW KOOL IS THIS?,VAN NUYS,34.198,-118.5152
DAVID DJ URRUTIA,EL CHALATECO,LOS ANGELES,34.0327,-118.2957
DAVID FINES,FALAFEL BURGER BAR,VAN NUYS,34.189,-118.4727
DAVID HAN,TASTY'S DONUT,TARZANA,34.1723,-118.5364
DAVID HAN,THE WILSHIRE EATERY,LOS ANGELES,34.0567,-118.449
DAVID JUAREZ,TAQUERIA JALISCO,LOS ANGELES,34.0398,-118.3429
DAVID LEUNG,CATHAY PALISADES,PACIFIC PALISADES,34.0469,-118.526
DAVID LO PAN LLC,LOCK AND KEY,LOS ANGELES,34.0698,-118.2916
DAVID PHENG,QUICKLY,VAN NUYS,34.1939,-118.5011
DAVID PHENG,DONUT KING,VAN NUYS,34.187,-118.4571
DAVID R PADILLA REYES,GISH BAC RESTAURANT,LOS ANGELES,34.0398,-118.3299
DAVID SEEKIONG LOH/JIMSTON WONG,SIZZLING WOK,PANORAMA CITY,34.2354,-118.4495
DAVID SIERRA LLAMOS,DONA RACHEALS GRILL,LOS ANGELES,34.0814,-118.178
DAVID TEWASART INC,STICKY RICE 2,LOS ANGELES,34.0507,-118.2481
DAVID VAZQUEZ,MI PUEBLITO RESTAURANT,PACOIMA,34.2729,-118.4121
DAVID YOUNGKWON CHO,TRIMANA COMMONWEALTH,LOS ANGELES,34.0637,-118.2856
DAVID/FARIDA YERETSIAN,SASOUN BAKERY,LOS ANGELES,34.0908,-118.3012
DAVOOD/MARYAM HEKMATJOU,SUBWAY #423,ENCINO,34.1607,-118.509
DAW YEE MYANMAR CAFE INC,DAW YEE MYANMAR CORNER,LOS ANGELES,34.0825,-118.2725
DAWON SALES INC,PLAZA CAFE,LOS ANGELES,33.947,-118.3827
DB & M PIZZA WORLD INC,PIZZA WORLD,LOS ANGELES,34.0702,-118.3614
DB HVAC & APPLIANCE REPAIRS INC,,GRANADA HILLS,34.2662,-118.5012
DD RESTAURANT HOLDINGS INC,,LOS ANGELES,34.0633,-118.2938
DDAENG DDAENG YI INC,,LOS ANGELES,34.0617,-118.2936
DDPKE CORP,MEX USA LA MICHOACANA ICE CREAM PARLOR,PANORAMA CITY,34.2213,-118.4332
DE EURO CAFE INC,GYPSY CAFE,LOS ANGELES,34.0632,-118.4469
DE LA TORRE RESTAURANT GROUP LLC,,LOS ANGELES,34.0687,-118.2503
DE LA TORRE RESTAURANT GROUP LLC,GUISADOS,LOS ANGELES,34.0468,-118.2501
DE LA TORRE RESTAURANT GROUP LLC,GUISADOS,LOS ANGELES,34.0614,-118.3008
DEATH & CO LA LLC,,LOS ANGELES,34.0456,-118.2358
DEBORAH KOJIMA,RESTAURANT TATSUKI,WOODLAND HILLS,34.1682,-118.6
DEBORAH LYNNE ROWE,D & J S COUNTRY CLUB DELI,VAN NUYS,34.1721,-118.4392
DEDETO INC,IL MORO,LOS ANGELES,34.0361,-118.4428
DEFRANKOS INC,DEFRANKOS SUBMARINES,VAN NUYS,34.2075,-118.4836
DEL CID'S,PUCHICA GUATEMALAN BAR AND GRILL,SHERMAN OAKS,34.1522,-118.4666
"DEL FRISCO'S OF CALIFORNIA, LLC",DOUBLE EAGLE,LOS ANGELES,34.06,-118.4198
DEL REY PIZZA LLC,THE GOOD PIZZA,PLAYA DEL REY,33.9587,-118.4376
DEL TACO LLC,,SAN PEDRO,33.7408,-118.2921
DEL TACO LLC,,SAN PEDRO,33.7527,-118.3087
DEL TACO LLC,DEL TACO #162,LOS ANGELES,34.1252,-118.2651
DEL TACO LLC,DEL TACO # 385,GARDENA,33.8619,-118.3091
DEL TACO LLC,DEL TACO #400,NORTHRIDGE,34.2332,-118.5623
DEL TACO LLC,DEL TACO #540,VAN NUYS,34.1945,-118.5011
DEL TACO LLC,DEL TACO #605,CANOGA PARK,34.2004,-118.6133
DEL TACO LLC,DEL TACO #678,N HOLLYWOOD,34.1927,-118.3965
DEL TACO LLC,DEL TACO #73,VAN NUYS,34.2077,-118.5011
